score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,band_low,band_high,band_label,n_components,config_name,subject_norm
0.5734954,2.2097468,2304.0,1,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,1
0.6753472,2.2097468,2304.0,1,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,1
0.5497685,1.652978,2304.0,2,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,2
0.5353009,1.652978,2304.0,2,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,2
0.81809413,1.6413391,2304.0,3,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,3
0.80285496,1.6413391,2304.0,3,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,3
0.677662,1.706392,2304.0,4,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,4
0.7023534,1.706392,2304.0,4,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,4
0.4689429,1.6546862,2304.0,5,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,5
0.53858024,1.6546862,2304.0,5,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,5
0.6878858,1.6366181,2304.0,6,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,6
0.61381173,1.6366181,2304.0,6,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,6
0.7310957,1.6722989,2304.0,7,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,7
0.77449846,1.6722989,2304.0,7,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,7
0.9907407,1.6340809,2304.0,8,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,8
0.9878472,1.6340809,2304.0,8,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,8
0.79205245,1.644331,2304.0,9,0train,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,9
0.72434413,1.644331,2304.0,9,1test,22,2,BNCI2014-001,band_8_32__csp_4,8,32,8-32,4,band_8_32__csp_4,9
0.91049385,1.7243931,2304.0,1,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,1
0.9342207,1.7243931,2304.0,1,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,1
0.57253087,2.023235,2304.0,2,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,2
0.5592207,2.023235,2304.0,2,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,2
0.9841821,1.6113582,2304.0,3,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,3
0.9756944,1.6113582,2304.0,3,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,3
0.7494213,2.058319,2304.0,4,0train,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,4
0.80131173,2.058319,2304.0,4,1test,22,2,BNCI2014-001,band_8_32__csp_6,8,32,8-32,6,band_8_32__csp_6,4
